UserKey,Positive,CurrentProb,SampleID,InitialProb,ProviderID,numTest
97ded84db5514ebc905edf10fa903c15,Unknown,0.01,i0-0.01,0.01,1,1
415de67803aa44ad9bf57c7960262b92,Unknown,0.01,i1-0.01,0.01,1,1
399fecdaf7c5477383910a6fbee5e05d,Unknown,0.01,i2-0.01,0.01,1,1
ae4e7b54f4d4420b9ae4b7532602dede,Unknown,0.01,i3-0.01,0.01,1,1
27647db569834bc494cd831ec2376434,Unknown,0.01,i4-0.01,0.01,1,1
4ee76c6ee5d74eff817cba97ccd6d396,Unknown,0.01,i5-0.01,0.01,1,1
1d0cb00cb90747f7a04dbd8c5aed4abb,Unknown,0.01,i6-0.01,0.01,1,1
add971f0957847e49d82a13ab43e818c,Unknown,0.01,i7-0.01,0.01,1,1
4af096c98dfc46459ea14bdc93b13331,Unknown,0.01,i8-0.01,0.01,1,1
58dc6e85f95e46a4a9518e9e9497b698,Unknown,0.01,i9-0.01,0.01,1,1
4e6a080447524701b0ac5d3e353f46f8,Unknown,0.01,i10-0.01,0.01,1,1
152dc0c762cd4e2fb1f5e0ae3c499e55,Unknown,0.01,i11-0.01,0.01,1,1
d8d09fba98404e6895627a914b290e33,Unknown,0.01,i12-0.01,0.01,1,1
cec4c2cd21c6439f94463c46668ba252,Unknown,0.01,i13-0.01,0.01,1,1
d7d6e9d3a4f147669663895992d17213,Unknown,0.01,i14-0.01,0.01,1,1
daa0c11537ff4a959cf884f61ea8b732,Unknown,0.01,i15-0.01,0.01,1,1
d53bcb72b784448d9c2677f2cbaab117,Unknown,0.01,i16-0.01,0.01,1,1
e00db689feb04999b64aa523bc83278d,Unknown,0.01,i17-0.01,0.01,1,1
cf5d27cd570e4b2293e919f6cd96bfc4,Unknown,0.01,i18-0.01,0.01,1,1
41c9be5edcec446a9f56b9e2a25f1287,Unknown,0.01,i19-0.01,0.01,1,1
7c0775eb8ef746ea8569a4a0788f86ec,Unknown,0.01,i20-0.01,0.01,1,1
a45a283519ff4fa485901ae867e29822,Unknown,0.01,i21-0.01,0.01,1,1
86f9e840d46e42d18ed9c3511b23deb5,Unknown,0.01,i22-0.01,0.01,1,1
4d3c06d642ce4095ad58292f98f5c588,Unknown,0.01,i23-0.01,0.01,1,1
1059457901944127b5af2b8f33a93406,Unknown,0.01,i24-0.01,0.01,1,1
731a27ea8fdf4298b313d85ee01d591c,Unknown,0.01,i25-0.01,0.01,1,1
789888ba344748728c1cd7ba303786dc,Unknown,0.01,i26-0.01,0.01,1,1
bf2391de43774411a3e02cad0f12b640,Unknown,0.01,i27-0.01,0.01,1,1
68b54e0ca9e14cf1964a118287cca722,Unknown,0.01,i28-0.01,0.01,1,1
510cbc51d09645c5869845f240e0f005,Unknown,0.01,i29-0.01,0.01,1,1
6eeedaaabe434a8884ae1af132d461aa,Unknown,0.01,i30-0.01,0.01,1,1
bde9026920f14e9ca489cbcee38edb8d,Unknown,0.01,i31-0.01,0.01,1,1
e9575021d9ee446e8175ba10c62560c3,Unknown,0.01,i32-0.01,0.01,1,1
485969320c3b4716858278a7f497e2e7,Unknown,0.01,i33-0.01,0.01,1,1
400e397eed3244e69637510c163bff7b,Unknown,0.01,i34-0.01,0.01,1,1
b88341cd51564187897dae8371bbf4d9,Unknown,0.01,i35-0.01,0.01,1,1
b1b28dca95174914a260b671140a6194,Unknown,0.01,i36-0.01,0.01,1,1
2a718286ec4947638051505eca597c1b,Unknown,0.01,i37-0.01,0.01,1,1
536fba3576a34403bf2ea1822f4687eb,Unknown,0.01,i38-0.01,0.01,1,1
2f72a530e441409ca4a16149190063c5,Unknown,0.01,i39-0.01,0.01,1,1
a78a094c4c4f40319dd7938a511174ae,Unknown,0.01,i40-0.01,0.01,1,1
aefa0f8f9d9741a99ae31b0610bc04ea,Unknown,0.01,i41-0.01,0.01,1,1
1fab8d16ab1d4a87a5e10d1469637b2c,Unknown,0.01,i42-0.01,0.01,1,1
06bece0bdca84b6f96d44f96274debc5,Unknown,0.01,i43-0.01,0.01,1,1
274b32be59ac424fb643c08492b80af3,Unknown,0.01,i44-0.01,0.01,1,1
99a0e02a4a294f3b9e26a27ae3629c01,Unknown,0.01,i45-0.01,0.01,1,1
10032a9deaa44c7db157d769c4c6846c,Unknown,0.01,i46-0.01,0.01,1,1
4bbf02fad0f6471587ea65ea5b73c214,Unknown,0.01,i47-0.01,0.01,1,1
d0ca1d8a226445469421fbd2284c9274,Unknown,0.01,i48-0.01,0.01,1,1
